Left_side,Right_side
Emissions|CO2,
,Emissions|CO2|Fossil Fuels and Industry
,Emissions|CO2|Land Use
Emissions|CO2|Fossil Fuels and Industry,
,Emissions|CO2|Fossil Fuels and Industry|Energy Demand
,Emissions|CO2|Fossil Fuels and Industry|Energy Supply
Emissions|CO2|Fossil Fuels and Industry|Energy Demand,
,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry
,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial
,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation
Final Energy,
,Final Energy|Electricity
,Final Energy|Gases
,Final Energy|Geothermal
,Final Energy|Heat
,Final Energy|Hydrogen
,Final Energy|Liquids
,Final Energy|Solar
,Final Energy|Solids
Final Energy,
,Final Energy|Industry
,Final Energy|Residential and Commercial
,Final Energy|Transportation
Primary Energy,
,Primary Energy|Coal
,Primary Energy|Gas
,Primary Energy|Oil
,Primary Energy|Nuclear
,Primary Energy|Hydro
,Primary Energy|Biomass
,Primary Energy|Solar
,Primary Energy|Wind
,Primary Energy|Geothermal
,Primary Energy|Ocean
Secondary Energy|Electricity,
,Secondary Energy|Electricity|Coal
,Secondary Energy|Electricity|Gas
,Secondary Energy|Electricity|Oil
,Secondary Energy|Electricity|Nuclear
,Secondary Energy|Electricity|Hydro
,Secondary Energy|Electricity|Biomass
,Secondary Energy|Electricity|Solar
,Secondary Energy|Electricity|Wind
,Secondary Energy|Electricity|Geothermal
,Secondary Energy|Electricity|Ocean
Population,
Price|Carbon,
Emissions|CO2|Carbon Capture and Storage,
